x,y,distribute_labels_of_computer,node_size
0.96748114,0.9502865,1,570
0.9775733,0.9668457,2,631
1.0,1.0,3,464
0.906201,0.86144835,4,371
0.9158268,0.8784228,5,814
0.9127414,0.8736372,6,516
0.8957797,0.84753597,7,579
0.92204773,0.8869151,8,458
0.8325707,0.7582159,9,493
0.7589846,0.6533468,10,871
0.791363,0.696928,11,420
0.7783077,0.6751369,12,361
0.7317393,0.6136479,13,477
0.69283974,0.566903,14,688
0.71363443,0.5902244,15,484
0.69750726,0.571301,16,879
0.65898585,0.51675916,17,382
0.7057699,0.58092743,18,618
0.6709561,0.53436047,19,834
0.67628676,0.53797007,20,833
0.64293885,0.49705938,21,676
0.6167602,0.4732822,22,389
0.59749466,0.44630423,23,489
0.6388588,0.49347952,24,389
0.6106327,0.463376,25,562
0.61536413,0.4663834,26,430
0.5786715,0.43157336,27,515
0.55796653,0.40718392,28,325
0.5953041,0.45370108,29,615
0.599053,0.45348755,30,620
0.58420795,0.43843532,31,849
0.60072446,0.45122606,32,628
0.57858896,0.4329038,33,342
0.55967915,0.41557473,34,842
0.53222847,0.39242527,35,377
0.5299821,0.38552085,36,467
0.5608841,0.41771078,37,721
0.53518325,0.39372852,38,602
0.5118104,0.3752311,39,336
0.47516394,0.3483359,40,555
0.4933966,0.3622848,41,349
0.44295952,0.3202692,42,447
0.4591865,0.32953015,43,668
0.34309912,0.2453499,44,480
0.30340225,0.21833628,45,895
0.34481403,0.24924606,46,480
0.23069334,0.16279253,47,546
0.1342136,0.094272465,48,664
0.19542536,0.13877553,49,429
0.13142401,0.091522455,50,436
0.10535121,0.069839776,51,423
0.24985453,0.17754409,52,753
0.109978735,0.074884325,53,315
0.035913825,0.021575868,54,354
0.0,0.0,55,545
